"Id","Cluster","TargetType","Domain","TargetUrl","DR_Est","Cost","RatPDF_Page","Anchor_Text","Pitch","Contact","Priority","Status"
"1","Compress PDF","Resource page","yale.edu","https://www.yale.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@yale.edu OR library@yale.edu","P1","Not started"
"2","Compress PDF","Resource page","yale.edu","https://www.yale.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@yale.edu OR library@yale.edu","P1","Not started"
"3","PDF to Text","Resource page","yale.edu","https://www.yale.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@yale.edu OR library@yale.edu","P1","Not started"
"4","PDF to Text","Resource page","yale.edu","https://www.yale.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@yale.edu OR library@yale.edu","P1","Not started"
"5","OCR","Resource page","yale.edu","https://www.yale.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@yale.edu OR library@yale.edu","P1","Not started"
"6","OCR","Resource page","yale.edu","https://www.yale.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@yale.edu OR library@yale.edu","P1","Not started"
"7","Compress PDF","Resource page","princeton.edu","https://www.princeton.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@princeton.edu OR library@princeton.edu","P1","Not started"
"8","Compress PDF","Resource page","princeton.edu","https://www.princeton.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@princeton.edu OR library@princeton.edu","P1","Not started"
"9","PDF to Text","Resource page","princeton.edu","https://www.princeton.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@princeton.edu OR library@princeton.edu","P1","Not started"
"10","PDF to Text","Resource page","princeton.edu","https://www.princeton.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@princeton.edu OR library@princeton.edu","P1","Not started"
"11","OCR","Resource page","princeton.edu","https://www.princeton.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@princeton.edu OR library@princeton.edu","P1","Not started"
"12","OCR","Resource page","princeton.edu","https://www.princeton.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@princeton.edu OR library@princeton.edu","P1","Not started"
"13","Compress PDF","Resource page","columbia.edu","https://www.columbia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@columbia.edu OR library@columbia.edu","P1","Not started"
"14","Compress PDF","Resource page","columbia.edu","https://www.columbia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@columbia.edu OR library@columbia.edu","P1","Not started"
"15","PDF to Text","Resource page","columbia.edu","https://www.columbia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@columbia.edu OR library@columbia.edu","P1","Not started"
"16","PDF to Text","Resource page","columbia.edu","https://www.columbia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@columbia.edu OR library@columbia.edu","P1","Not started"
"17","OCR","Resource page","columbia.edu","https://www.columbia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@columbia.edu OR library@columbia.edu","P1","Not started"
"18","OCR","Resource page","columbia.edu","https://www.columbia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@columbia.edu OR library@columbia.edu","P1","Not started"
"19","Compress PDF","Resource page","upenn.edu","https://www.upenn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@upenn.edu OR library@upenn.edu","P1","Not started"
"20","Compress PDF","Resource page","upenn.edu","https://www.upenn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@upenn.edu OR library@upenn.edu","P1","Not started"
"21","PDF to Text","Resource page","upenn.edu","https://www.upenn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@upenn.edu OR library@upenn.edu","P1","Not started"
"22","PDF to Text","Resource page","upenn.edu","https://www.upenn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@upenn.edu OR library@upenn.edu","P1","Not started"
"23","OCR","Resource page","upenn.edu","https://www.upenn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@upenn.edu OR library@upenn.edu","P1","Not started"
"24","OCR","Resource page","upenn.edu","https://www.upenn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@upenn.edu OR library@upenn.edu","P1","Not started"
"25","Compress PDF","Resource page","brown.edu","https://www.brown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@brown.edu OR library@brown.edu","P1","Not started"
"26","Compress PDF","Resource page","brown.edu","https://www.brown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@brown.edu OR library@brown.edu","P1","Not started"
"27","PDF to Text","Resource page","brown.edu","https://www.brown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@brown.edu OR library@brown.edu","P1","Not started"
"28","PDF to Text","Resource page","brown.edu","https://www.brown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@brown.edu OR library@brown.edu","P1","Not started"
"29","OCR","Resource page","brown.edu","https://www.brown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@brown.edu OR library@brown.edu","P1","Not started"
"30","OCR","Resource page","brown.edu","https://www.brown.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@brown.edu OR library@brown.edu","P1","Not started"
"31","Compress PDF","Resource page","dartmouth.edu","https://www.dartmouth.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@dartmouth.edu OR library@dartmouth.edu","P1","Not started"
"32","Compress PDF","Resource page","dartmouth.edu","https://www.dartmouth.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@dartmouth.edu OR library@dartmouth.edu","P1","Not started"
"33","PDF to Text","Resource page","dartmouth.edu","https://www.dartmouth.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@dartmouth.edu OR library@dartmouth.edu","P1","Not started"
"34","PDF to Text","Resource page","dartmouth.edu","https://www.dartmouth.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@dartmouth.edu OR library@dartmouth.edu","P1","Not started"
"35","OCR","Resource page","dartmouth.edu","https://www.dartmouth.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@dartmouth.edu OR library@dartmouth.edu","P1","Not started"
"36","OCR","Resource page","dartmouth.edu","https://www.dartmouth.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@dartmouth.edu OR library@dartmouth.edu","P1","Not started"
"37","Compress PDF","Resource page","cornell.edu","https://www.cornell.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@cornell.edu OR library@cornell.edu","P1","Not started"
"38","Compress PDF","Resource page","cornell.edu","https://www.cornell.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@cornell.edu OR library@cornell.edu","P1","Not started"
"39","PDF to Text","Resource page","cornell.edu","https://www.cornell.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@cornell.edu OR library@cornell.edu","P1","Not started"
"40","PDF to Text","Resource page","cornell.edu","https://www.cornell.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@cornell.edu OR library@cornell.edu","P1","Not started"
"41","OCR","Resource page","cornell.edu","https://www.cornell.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@cornell.edu OR library@cornell.edu","P1","Not started"
