"Cluster","PrimaryKeyword","SecondaryKeywords","SearchIntent","Audience","FunnelStage","DifficultyEst","TrafficPotential","RecommendedURL","ToolURL","InternalLinks","WordCountTarget","Priority","Status","Id"
"Best-of","best invoice generators for accountants","top invoice generators accountants; accountants pdf tools","Commercial","accountants","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","1"
"Best-of","best invoice generators for archivists","top invoice generators archivists; archivists pdf tools","Commercial","archivists","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","2"
"Best-of","best invoice generators for bookkeepers","top invoice generators bookkeepers; bookkeepers pdf tools","Commercial","bookkeepers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","3"
"Best-of","best invoice generators for construction managers","top invoice generators construction managers; construction managers pdf tools","Commercial","construction managers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","4"
"Best-of","best invoice generators for consultants","top invoice generators consultants; consultants pdf tools","Commercial","consultants","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","5"
"Best-of","best invoice generators for designers","top invoice generators designers; designers pdf tools","Commercial","designers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","6"
"Best-of","best invoice generators for developers","top invoice generators developers; developers pdf tools","Commercial","developers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","7"
"Best-of","best invoice generators for ecommerce sellers","top invoice generators ecommerce sellers; ecommerce sellers pdf tools","Commercial","ecommerce sellers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","8"
"Best-of","best invoice generators for event planners","top invoice generators event planners; event planners pdf tools","Commercial","event planners","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","9"
"Best-of","best invoice generators for freelancers","top invoice generators freelancers; freelancers pdf tools","Commercial","freelancers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","10"
"Best-of","best invoice generators for government contractors","top invoice generators government contractors; government contractors pdf tools","Commercial","government contractors","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","11"
"Best-of","best invoice generators for healthcare administrators","top invoice generators healthcare administrators; healthcare administrators pdf tools","Commercial","healthcare administrators","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","12"
"Best-of","best invoice generators for hr teams","top invoice generators hr teams; hr teams pdf tools","Commercial","hr teams","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","13"
"Best-of","best invoice generators for insurance agents","top invoice generators insurance agents; insurance agents pdf tools","Commercial","insurance agents","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","14"
"Best-of","best invoice generators for journalists","top invoice generators journalists; journalists pdf tools","Commercial","journalists","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","15"
"Best-of","best invoice generators for lawyers","top invoice generators lawyers; lawyers pdf tools","Commercial","lawyers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","16"
"Best-of","best invoice generators for librarians","top invoice generators librarians; librarians pdf tools","Commercial","librarians","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","17"
"Best-of","best invoice generators for marketers","top invoice generators marketers; marketers pdf tools","Commercial","marketers","MOFU","Medium","Medium","/compare","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Deferred","18"
