"Cluster","PrimaryKeyword","SecondaryKeywords","SearchIntent","Audience","FunnelStage","DifficultyEst","TrafficPotential","RecommendedURL","ToolURL","InternalLinks","WordCountTarget","Priority","Status","Id"
"Best-of","best invoice generators for accountants","top invoice generators accountants; accountants pdf tools","Commercial","accountants","MOFU","Medium","Medium","/guides/best-invoice-generators-for-accountants","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","1"
"Best-of","best invoice generators for archivists","top invoice generators archivists; archivists pdf tools","Commercial","archivists","MOFU","Medium","Medium","/guides/best-invoice-generators-for-archivists","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","2"
"Best-of","best invoice generators for bookkeepers","top invoice generators bookkeepers; bookkeepers pdf tools","Commercial","bookkeepers","MOFU","Medium","Medium","/guides/best-invoice-generators-for-bookkeepers","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","3"
"Best-of","best invoice generators for construction managers","top invoice generators construction managers; construction managers pdf tools","Commercial","construction managers","MOFU","Medium","Medium","/guides/best-invoice-generators-for-construction-managers","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","4"
"Best-of","best invoice generators for consultants","top invoice generators consultants; consultants pdf tools","Commercial","consultants","MOFU","Medium","Medium","/guides/best-invoice-generators-for-consultants","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","5"
"Best-of","best invoice generators for designers","top invoice generators designers; designers pdf tools","Commercial","designers","MOFU","Medium","Medium","/guides/best-invoice-generators-for-designers","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","6"
"Best-of","best invoice generators for developers","top invoice generators developers; developers pdf tools","Commercial","developers","MOFU","Medium","Medium","/guides/best-invoice-generators-for-developers","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","7"
"Best-of","best invoice generators for ecommerce sellers","top invoice generators ecommerce sellers; ecommerce sellers pdf tools","Commercial","ecommerce sellers","MOFU","Medium","Medium","/guides/best-invoice-generators-for-ecommerce-sellers","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","8"
"Best-of","best invoice generators for event planners","top invoice generators event planners; event planners pdf tools","Commercial","event planners","MOFU","Medium","Medium","/guides/best-invoice-generators-for-event-planners","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","9"
"Best-of","best invoice generators for freelancers","top invoice generators freelancers; freelancers pdf tools","Commercial","freelancers","MOFU","Medium","Medium","/guides/best-invoice-generators-for-freelancers","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","10"
"Best-of","best invoice generators for government contractors","top invoice generators government contractors; government contractors pdf tools","Commercial","government contractors","MOFU","Medium","Medium","/guides/best-invoice-generators-for-government-contractors","/compare","/guides/choose-pdf-tool; /guides/pdf-tools","2500-4000","P0","Planned","11"
