"Cluster","PageType","URL","BestFor","LinkTypes"
"Compress PDF","Pillar/Hub","https://ratpdf.com/compress-pdf","Directory listing, SaaS compare, email workflow blogs","SaaS listing, Editorial, Resource page"
"Compress PDF","Research","https://ratpdf.com/research/attachment-size-limits","Editorial cite, .edu IT help, productivity blogs","Editorial, Resource page, Blog mention"
"Compress PDF","Research","https://ratpdf.com/research/pdf-compression-benchmark","HN, DEV, research citations","Editorial, Blog mention"
"Compress PDF","Tool","https://ratpdf.com/pdf/compress","Free tool directories, Q&A sites","SaaS listing, Directory"
"Compress PDF","Interactive","https://ratpdf.com/pdf-size-checker","Productivity roundups, email tips","Blog mention, Resource page"
"PDF to Text","Pillar","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","Tool directories, student resource pages","Directory, Resource page"
"PDF to Text","Pillar","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","How-to blogs, LibGuides, Q&A","Editorial, Resource page, Blog mention"
"PDF to Text","Tool","https://ratpdf.com/pdf/pdftotext","SaaS listings, developer blogs","SaaS listing, Directory"
"PDF to Text","Pillar","https://ratpdf.com/pdf-to-txt/extract-text-from-pdf","Research/library digitization guides","Resource page"
"OCR","Pillar","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","Accessibility resources, library OCR guides","Resource page, Editorial"
"OCR","Tool","https://ratpdf.com/pdf/ocrpdf","Tool directories, digitization communities","Directory, SaaS listing"
"OCR","Guide","https://ratpdf.com/guides/ocr-pdf","Gov accessibility, WebAIM-style resources","Resource page, Editorial"
"OCR","Pillar","https://ratpdf.com/pdf-to-txt/how-scanned-pdf-to-text","University scan workflows, fax archive guides","Resource page, Blog mention"
